Class,Sub Class,Order,Sub Order,Occupations,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Males,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Females
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,"Brass founder, worker, moulder, brazier, and apprentice",,2,29,27,29,17,,,104,,,,,1,,,,1
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,Locksmith,,,2,1,5,2,3,,13,,,,,,,,,
Industrial,,"Persons engaged in the Alteration, Modification, or Manufacture of, or in other Processes relating to, Metals or Mineral Matters.",Metals other than Gold or Silver,Others,,2,12,5,18,13,1,,51,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Master builder, contractor, foreman, measurer, clerk, inspector, &c.",,7,30,24,398,335,35,,829,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Stonemason, hewer, hodman, mason's labourer",,1,20,8,103,160,30,,322,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Bricklayer, hodman, bricklayer's labourer, relative assisting",,13,61,35,266,216,31,1,623,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Carpenter, joiner, turner, carpenter's labourer, apprentice, &c.",,51,433,586,"2,336","1,790",267,3,"5,466",,,1,,1,,,,2
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Slater, shingler, slater's labourer",,,3,3,6,10,4,,26,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"Plasterer, plasterer's labourer, and assistant",,5,20,26,73,60,5,,189,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"House-painter, paperhanger, glazier, decorator, and assistant",,38,239,232,667,352,36,,"1,564",,1,2,3,1,2,,,9
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,"House-plumber, bellhanger, and apprentice",,21,144,161,267,96,10,,699,,,,,,1,,,1
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Houses and Buildings,Others,,,3,8,34,10,1,,56,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Road, railway contractor",,,12,18,139,90,3,1,263,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Skilled assistant, foreman, inspector, timekeeper, clerk",,,,1,68,58,5,,132,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Carter, waggoner",,,19,37,58,36,1,,151,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Engine-driver, fireman (at works)",,,8,11,36,20,1,,76,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Navvy, road, railway labourer, excavator, ballast-man",,17,118,285,"1,096",482,29,,"2,027",,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Stone-breaker, stonebreaking-machine worker",,,,1,4,21,7,,33,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Dredge-worker, diving-bell worker",,,3,2,14,8,1,,28,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Drainer, pavior",,,2,6,62,16,,,86,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks",Others,,,1,2,6,9,1,,19,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Disposition of Dead Matter or Refuse,"Cemetery-keeper, gravedigger, labourer",,,,,,4,6,,10,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Disposition of Dead Matter or Refuse,"Scavenger, street-cleaner",,,,1,1,3,,,5,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Disposition of Dead Matter or Refuse,Chimney-sweep,,,,1,14,22,4,,41,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Disposition of Dead Matter or Refuse,"Nightman, nightcart-driver",,,1,2,8,6,,,17,,,,,,,,,
Industrial,,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.",Disposition of Dead Matter or Refuse,Others,,,,,2,3,,,5,,,,,,,,,
Industrial,,Industrial Workers imperfectly defined.,Imperfectly defined,"Mechanic, manufacturer (so defined)",,,6,4,17,13,1,,41,,,,,,,,,
Industrial,,Industrial Workers imperfectly defined.,Imperfectly defined,Factory-worker (undefined),,15,31,6,24,5,,,81,,4,13,5,5,1,,,28
Industrial,,Industrial Workers imperfectly defined.,Imperfectly defined,"Engineer, engine-driver, stoker (undefined), apprentice",,10,121,120,372,204,21,,848,,,,,,,,,
Industrial,,Industrial Workers imperfectly defined.,Imperfectly defined,Labourer (undefined),,260,"2,326","2,482","3,986","3,893",571,249,"13,767",,,2,,5,2,,,9
Industrial,,Industrial Workers imperfectly defined.,Imperfectly defined,Others,,17,51,24,23,35,1,,151,,,6,3,7,8,,,24
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,Farmer,,,337,"1,323","10,859","10,724","1,812",29,"25,084",,,3,6,234,401,98,,742
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,Relative assisting,,"2,565","5,564","2,788","1,541",168,102,3,"12,731",,306,470,264,294,205,16,,"1,555"
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Farm bailiff, overseer",,,8,39,220,69,13,,349,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Farm-servant, agricultural labourer",,634,"3,075","2,605","5,141","2,005",235,21,"13,716",,5,12,9,5,1,1,,33
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Market-gardener, relative assisting",,20,31,60,505,243,42,5,906,,2,2,,6,7,,,19
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Fruit-grower, relative assisting",,11,16,19,66,72,14,,198,,1,1,1,1,4,,,8
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Hop grower, picker, labourer",,1,1,1,15,4,,,22,,,,,,1,,,1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Wine-grower, vigneron",,,,,2,4,1,,7,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Gardener, horticulturist, relative assisting",,50,176,107,679,923,316,4,"2,255",,,3,3,8,6,1,,21
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,"Agricultural-implement owner, worker, assistant",,1,69,176,444,97,3,10,800,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Agricultural Pursuits,Others,,15,83,122,241,126,15,1,603,,1,2,2,2,1,,,8
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,"Runholder, grazier, sheep or cattle farmer",,,15,98,674,525,82,1,"1,395",,,,,11,16,4,,31
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,Relative assisting,,75,137,74,58,6,,,350,,3,8,4,7,1,1,,24
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,"Station overseer, manager",,,5,39,338,126,,2,512,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,"Stock rider, drover, shepherd, shearer, &c., cowboy, cadet",,91,750,"1,241","3,070","1,178",86,11,"6,427",,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,"Dairy-farmer, cowboy, relative assisting",,24,23,16,124,144,23,2,356,,5,11,8,33,33,6,,96
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,"Milker, dairymaid, and others connected with dairy",,63,47,19,55,12,2,,203,,18,29,18,30,14,1,,110
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.",Pastoral Pursuits,Others,,3,12,10,,11,,,36,,,,3,1,3,,,7
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Fisherman, fisherwoman",,10,44,64,236,177,27,7,565,,,2,,,,,,2
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Oyster, crayfish, shrimp, shellfish capturer, collector",,,,3,14,1,,,18,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Engaged in whale, seal, porpoise fishery pursuits (all branches)",,,,1,1,3,,,5,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Rabbit-catcher, trapper, bee-keeper, and assistant",,73,249,212,525,190,27,20,"1,296",,2,,,1,,,,3
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals",Others,,,1,,8,2,,,11,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation","Director, overseer, bailiff, and others engaged in forestry",,,2,1,11,7,,,21,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation","Bushman, grubber",,47,308,559,"1,222",362,38,,"2,536",,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation",Others,,1,14,71,85,255,3,2,431,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Engaged in the Conservancy of Water in all its Forms, and in Water-supply from Natural Sources","Waterworks officer, workman, water-race manager, clerk, caretaker",,,5,6,39,29,2,,81,,,,,1,,,,1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Engaged in the Conservancy of Water in all its Forms, and in Water-supply from Natural Sources",Others,,2,4,,17,15,2,,40,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in gold-mining (lode)",,11,231,311,629,896,50,,"2,128",,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in gold-mining (alluvial)",,65,433,564,"4,262","4,364",387,24,"10,099",,,,1,4,2,,,7
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in silver silver-lead, mining",,,1,12,22,4,,,29,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in coalmining",,26,227,237,863,351,16,1,"1,721",,,,,1,,,,1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in iron-ore mining",,,,,1,,,,1,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in mining for other minerals",,2,4,9,53,14,,,82,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Quarry owner, overseer, clerk",,,,1,32,4,,,37,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Quarryman, labourer, and others engaged in quarries",,1,10,16,42,60,5,,134,,,,,,,,,
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Kauri-gum digger, scraper, worker",,71,203,289,"1,183",712,69,17,"2,544",,4,1,4,5,,,,14
"Agricultural, Pastoral, Mineral, and other Primary Producers.",,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products",Others,,,20,13,49,32,6,1,121,,,,,,1,,,1
Indefinite,,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:",Pensioner,,,,,5,58,76,,139,,,,,1,1,4,,6
Indefinite,,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:",Annuitant,,,1,10,46,81,91,1,230,,,1,8,49,82,70,,210
Indefinite,,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:","Lady, gentleman, of independent means (so returned)",,1,19,37,217,471,502,3,"1,250",,1,22,75,206,507,455,2,"1,268"
Indefinite,,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Others undefined, both as regards Means and Particular Occupation","Manager, assistant, apprentice, proprietor, employer, foreman, partner, contractor (so returned)",,32,91,138,602,434,30,1,"1,328",,6,14,2,10,5,7,,44
Indefinite,,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Others undefined, both as regards Means and Particular Occupation",Others,,14,151,207,414,285,232,91,"1,394",,4,24,447,835,334,201,37,"1,882"
Dependents,,Persons dependent upon Natural Guardians.,Domestic Duties for which Remuneration is not paid,"Wife, widow, of no specified occupation",,,,,,,,,,,,562,"7,256","48,640","24,301","2,987",62,"83,808"
Dependents,,Persons dependent upon Natural Guardians.,Domestic Duties for which Remuneration is not paid,"Son, daughter, relative, performing domestic duties",,173,156,25,3,3,5,,365,,"4,144","14,081","9,352","5,711","1,426",849,90,"35,653"
Dependents,,Persons dependent upon Natural Guardians.,Domestic Duties for which Remuneration is not paid,"Visitor, lodger, stated to be performing domestic duties",,4,6,1,3,1,1,,16,,121,682,942,"1,371",586,119,4,"3,825"
Dependents,,Persons dependent upon Natural Guardians.,Domestic Duties for which Remuneration is not paid,Others,,3,4,,2,2,1,,12,,32,98,241,514,232,62,,"1,179"
Dependents,,Persons dependent upon Natural Guardians.,Dependent Scholars and Students,"Son, daughter, relative, supported at universities. &c.",,,23,44,11,,3,,81,,,6,3,2,,,,11
Dependents,,Persons dependent upon Natural Guardians.,Dependent Scholars and Students,"Son, daughter, relative, at school",779,"66,612","2,366",35,81,,,6,"69,879",735,"65,567","2,972",45,50,,,5,"69,374"
Dependents,,Persons dependent upon Natural Guardians.,Dependent Scholars and Students,"Child, relative, receiving tuition at home",646,"2,276",67,5,31,,,,"3,025",646,"3,389",312,6,38,,,,"4,391"
Dependents,,Persons dependent upon Natural Guardians.,Dependent Relatives not stated to be performing Domestic Duties,"Father, mother, dependent on children",,,,,1,12,99,1,113,,,,1,4,38,165,,208
Dependents,,Persons dependent upon Natural Guardians.,Dependent Relatives not stated to be performing Domestic Duties,"Son, daughter, relative","39,626","7,166",194,46,138,9,57,16,"47,252","38,355","6,546",664,130,49,61,221,22,"46,048"
Dependents,,Persons dependent upon Natural Guardians.,Dependent Relatives not stated to be performing Domestic Duties,"Visitor, lodger, boarder",167,401,72,6,4,7,9,1,"1,667","1,164",502,380,96,39,23,62,5,"2,271"
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,Inmate of hospital,6,47,34,36,141,201,67,1,533,7,36,34,26,65,30,10,,208
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,“ benevolent asylum,5,45,6,2,53,157,298,2,568,10,40,36,28,47,43,68,,272
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,“ lunatic asylum,,10,9,27,430,478,60,43,"1,057",2,9,5,25,307,284,35,5,672
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,“ orphan asylum,10,80,1,,6,1,1,,99,13,120,,,4,,,2,139
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,“ industrial school,8,304,31,1,2,,,,346,4,65,25,5,1,,,,100
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,“ refuge,5,,,,,,,,5,2,,5,4,5,2,,,18
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,"Pauper, beggar",,,,,,1,1,,2,,,,,,,,,
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Supported by Voluntary and State Contributions,Others,7,35,16,3,,18,11,,90,7,11,9,7,22,28,44,,128
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Criminals,Prisoner in gaol,,,16,63,204,123,12,1,419,,,3,2,35,18,1,,59
Dependents,,"Persons dependent upon the State, or upon Public or Private Support.",Criminals,Others,,,,,2,,,,2,,,,,,,,,
